project_id,doc_era,pdf_url,doc_type_found,doc_title,found
P120836,PAD,http://documents.worldbank.org/curated/en/400941468259132423/pdf/545320PAD0P1201Official0Use0Only191.pdf,Project Appraisal Document,India - Maharashtra Agriculture Competitiveness Project,TRUE
P105990,PAD,http://documents.worldbank.org/curated/en/232061468284091155/pdf/531840PAD0P105101Official0Use0Only1.pdf,Project Appraisal Document,India - West Bengal Institutional Strengthening of Gram Panchayats Project,TRUE
P122770,PAD,http://documents.worldbank.org/curated/en/402181468267291836/pdf/734220PAD0IDA00g00OUO0900Box379799B.pdf,Project Appraisal Document,India - Second Phase of the Uttar Pradesh Water Sector Restructuring Project,TRUE
P121185,PAD,http://documents.worldbank.org/curated/en/986651468267359774/pdf/581660PAD0R20100Box382084B00PUBLIC0.pdf,Project Appraisal Document,India - National Highways Interconnectivity Improvement Project,TRUE
P010485,PAD,https://documents.worldbank.org/curated/en/409671468771313244/pdf/IBArchive-924861d9-5cae-4ee4-8c82-bb6a3ed70911.pdf,Staff Appraisal Report,India - Hydrology Project (Vol. 2 of 2) : Annexes & supplementary data,TRUE
P009870,SAR,http://documents.worldbank.org/curated/en/703491468750269977/pdf/multi0page.pdf,Staff Appraisal Report,India - Container Transport Logistics Project,TRUE
P009986,SAR,http://documents.worldbank.org/curated/en/478421468052468340/pdf/multi-page.pdf,Staff Appraisal Report,India - Petroleum Transport Project,TRUE
P010362,SAR,NA,NA,NA,FALSE
P009991,SAR,http://documents.worldbank.org/curated/en/974381468285628845/pdf/multi0page.pdf,Staff Appraisal Report,India - Export Development Project,TRUE
P009985,SAR,http://documents.worldbank.org/curated/en/930191468041964812/pdf/multi-page.pdf,Staff Appraisal Report,India - Industrial Finance and Technical Assistance Project,TRUE
P009992,SAR,NA,NA,NA,FALSE
P009981,SAR,http://documents.worldbank.org/curated/en/936211468267320712/pdf/multi0page.pdf,Staff Appraisal Report,India - Cement Industry Restructuring Project,TRUE
P009993,SAR,http://documents.worldbank.org/curated/en/488281468284988175/pdf/multi-page.pdf,Staff Appraisal Report,India - Private Power Utilities Project (BSES) for Bombay Suburban Electric Supply Limited,TRUE
P009976,SAR,http://documents.worldbank.org/curated/en/699801468050928401/pdf/multi-page.pdf,Staff Appraisal Report,India - Housing Development Finance Corporation Project,TRUE
P009996,SAR,http://documents.worldbank.org/curated/en/895201468771659949/pdf/multi-page.pdf,Staff Appraisal Report,India - National Sericulture Project,TRUE
P157801,PAD,http://documents.worldbank.org/curated/en/362631492135244581/pdf/Project-Appraisal-Document-P157801-03232017.pdf,Project Appraisal Document,Maldives - Sustainable Fisheries Resources Development Project,TRUE
P107981,PAD,http://documents.worldbank.org/curated/en/559931468300647992/pdf/409470PAD0P1071ly10IDA1R20081005111.pdf,Project Appraisal Document,Maldives - Mobile Phone Banking Project,TRUE
P108078,PAD,http://documents.worldbank.org/curated/en/776491468300648306/pdf/434180PAD0P10817376B01OFF0USE0ONLY1.pdf,Project Appraisal Document,Maldives - Environmental Management Project,TRUE
P174014,PAD,http://documents.worldbank.org/curated/en/371121592013774544/pdf/Maldives-COVID-19-Emergency-Income-Support-Project.pdf,Project Appraisal Document,Maldives - COVID-19 Emergency Income Support Project,TRUE
P104743,PAD,http://documents.worldbank.org/curated/en/362131468281376308/pdf/449300PAD0P104101Official0Use0Only1.pdf,Project Appraisal Document,Maldives - Pension and Social Protection Administration Project,TRUE
P004336,SAR,http://documents.worldbank.org/curated/en/369571468279357166/pdf/multi-page.pdf,Staff Appraisal Report,Maldives - Third Fisheries Project,TRUE
P078523,PAD,http://documents.worldbank.org/curated/en/436181468774670935/pdf/277100Mald.pdf,Project Appraisal Document,Maldives - Integrated Human Development Project,TRUE
P094193,PAD,NA,NA,NA,FALSE
P004337,PAD,http://documents.worldbank.org/curated/en/238321468774877762/pdf/multi0page.pdf,Staff Appraisal Report,Maldives - Second Education and Training Project,TRUE
P055944,PAD,http://documents.worldbank.org/curated/en/878041468761130646/pdf/multi-page.pdf,Project Appraisal Document,Maldives - Third Education and Training Project,TRUE
P131331,PAD,http://documents.worldbank.org/curated/en/227031468120859948/pdf/734740PAD0P131010Box374377B00OUO090.pdf,Project Appraisal Document,Maldives - Enhancing Education Development Project (EEDP),TRUE
P004332,SAR,http://documents.worldbank.org/curated/en/398261468120860407/pdf/multi-page.pdf,Staff Appraisal Report,Maldives - Second Fisheries Project,TRUE
P004335,SAR,http://documents.worldbank.org/curated/en/870931468282290657/pdf/multi-page.pdf,Staff Appraisal Report,Maldives - Education and Training Project,TRUE
P004331,SAR,http://documents.worldbank.org/curated/en/638161468050350042/pdf/multi-page.pdf,Staff Appraisal Report,Maldives - Fisheries Project,TRUE
P004338,SAR,http://documents.worldbank.org/curated/en/541571468281377741/pdf/multi-page.pdf,Staff Appraisal Report,Maldives - Male Airport Upgrading Project,TRUE
P145317,PAD,http://documents.worldbank.org/curated/en/771641468052457766/pdf/PAD7420PAD0P140IC0disclosed06090140.pdf,Project Appraisal Document,Maldives - Public Financial Management Systems Strengthening Project,TRUE
P045053,PAD,http://documents.worldbank.org/curated/en/653881468758084652/pdf/multi-page.pdf,Project Appraisal Document,Nepal - Rural Infrastructure Project,TRUE
P040612,PAD,http://documents.worldbank.org/curated/en/273221468779978360/pdf/multi-page.pdf,Project Appraisal Document,Nepal - Basic and Primary Education Project,TRUE
P163018,PAD,http://documents.worldbank.org/curated/en/387251506909647717/pdf/NEPAL-EVENT-PAD-09122017.pdf,Project Appraisal Document,Nepal - Second Enhanced Vocational Education and Training Project,TRUE
P048026,PAD,http://documents.worldbank.org/curated/en/354581468761368889/pdf/multi-page.pdf,Project Appraisal Document,Nepal - Agricultural Research and Extension Project,TRUE
P045052,PAD,http://documents.worldbank.org/curated/en/586691468775768764/pdf/multi-page.pdf,Project Appraisal Document,Nepal - Road Maintenance and Development Project,TRUE
P099296,PAD,http://documents.worldbank.org/curated/en/500641468323052350/pdf/41409optmzd0NP.pdf,Project Appraisal Document,Nepal - Irrigation and Water Resources Management Project,TRUE
P071285,PAD,http://documents.worldbank.org/curated/en/109721468053641136/pdf/281240PAD0REVI1490IDASecM2009104111.pdf,Project Appraisal Document,Nepal - Second Rural Water Supply and Sanitation Project,TRUE
P010396,SAR,http://documents.worldbank.org/curated/en/436441468291696982/pdf/multi-page.pdf,Staff Appraisal Report,Nepal - Fifth Telecommunications Project,TRUE
P110762,PAD,NA,NA,NA,FALSE
P118179,PAD,http://documents.worldbank.org/curated/en/545711468053352577/pdf/607200PAD0P1180e0only0900BOX361487B.pdf,Project Appraisal Document,Nepal - First Phase of the Modernization of Rani Jamara Kulariya Irrigation Scheme Project,TRUE
P083923,PAD,http://documents.worldbank.org/curated/en/623451468289235649/pdf/316240rev.pdf,Project Appraisal Document,Nepal - Rural Access Improvement and Decentralization Project,TRUE
P164319,PAD,NA,NA,NA,FALSE
P112893,PAD,http://documents.worldbank.org/curated/en/713331468122072134/pdf/583680PAD0P1128930IDA1R20111012711.pdf,Project Appraisal Document,Nepal - Kabeli Transmission Project,TRUE
P115767,PAD,http://documents.worldbank.org/curated/en/158731468114883648/pdf/598930PAD0P1150e0only0900BOX361476B.pdf,Project Appraisal Document,South Asia - Nepal-India Electricity Transmission and Trade Project,TRUE
P010392,SAR,http://documents.worldbank.org/curated/en/790631468289870058/pdf/multi-page.pdf,Staff Appraisal Report,Nepal - Power Sector Efficiency Project,TRUE
P010348,SAR,http://documents.worldbank.org/curated/en/450401468288606060/pdf/multi-page.pdf,Staff Appraisal Report,Nepal - Third Bhairawa Lumbini Groundwater Irrigation Project,TRUE
P128905,PAD,NA,NA,NA,FALSE
P150066,PAD,http://documents.worldbank.org/curated/en/311991468190177406/pdf/PAD1276-PAD-P150066-IDA-R2015-0241-1-Box393200B-OUO-9.pdf,Project Appraisal Document,Nepal - Power Sector Reform and Sustainable Hydropower Development Project,TRUE
P117417,PAD,http://documents.worldbank.org/curated/en/964991468291002895/pdf/528950PAD0P117101Official0Use0Only1.pdf,Project Appraisal Document,Nepal - Second Health Nutrition and Population (HNP) and HIV/AIDS Project,TRUE
P010406,SAR,NA,NA,NA,FALSE
P050671,PAD,http://documents.worldbank.org/curated/en/444471468775542700/pdf/multi0page.pdf,Project Appraisal Document,Nepal - Telecommunications Sector Reform Project,TRUE
P113002,PAD,NA,NA,NA,FALSE
P147010,PAD,http://documents.worldbank.org/curated/en/610541468060551481/pdf/PAD10190PAD0P1010Box385414B00OUO090.pdf,Project Appraisal Document,Nepal - Higher Education Reforms Project,TRUE
P010475,SAR,http://documents.worldbank.org/curated/en/502491468775768411/pdf/multi0page.pdf,Staff Appraisal Report,Nepal - Road Maintenance and Rehabilitation Project,TRUE
